decade,feature,count,ratio
1980s,HebRoot=יפח,2,2.597605008182456e-05
1980s,HebRoot=דון,2,2.597605008182456e-05
1980s,HebRoot=שׁזף,2,2.597605008182456e-05
1980s,HebRoot=שׁקף,2,2.597605008182456e-05
1980s,HebRoot=הדף,2,2.597605008182456e-05
1980s,HebRoot=תעי,2,2.597605008182456e-05
1980s,HebRoot=מוג,2,2.597605008182456e-05
1980s,HebRoot=צהל,2,2.597605008182456e-05
1980s,HebRoot=קטף,2,2.597605008182456e-05
1980s,HebRoot=חבשׁ,2,2.597605008182456e-05
1980s,HebRoot=דרס,2,2.597605008182456e-05
1980s,HebRoot=נצל,2,2.597605008182456e-05
1980s,HebRoot=קבע,2,2.597605008182456e-05
1980s,HebRoot=גשׁם,2,2.597605008182456e-05
1980s,HebRoot=מושׁ,2,2.597605008182456e-05
1980s,HebRoot=עצבן,2,2.597605008182456e-05
1980s,HebRoot=טוי,2,2.597605008182456e-05
1980s,HebRoot=נכשׁ,2,2.597605008182456e-05
1980s,HebRoot=מזי,2,2.597605008182456e-05
1980s,HebRoot=ספי,2,2.597605008182456e-05
1980s,HebRoot=שׁדל,2,2.597605008182456e-05
1980s,HebRoot=שׁעמם,2,2.597605008182456e-05
1980s,HebRoot=נטע,2,2.597605008182456e-05
1980s,HebRoot=כתר,2,2.597605008182456e-05
1980s,HebRoot=ריע,2,2.597605008182456e-05
1980s,HebRoot=בלי,2,2.597605008182456e-05
1980s,HebRoot=דמין,2,2.597605008182456e-05
1980s,HebRoot=צמח,2,2.597605008182456e-05
1980s,HebRoot=בהי,2,2.597605008182456e-05
1980s,HebRoot=יבל,2,2.597605008182456e-05
1980s,HebRoot=חבא,2,2.597605008182456e-05
1980s,HebRoot=קים,2,2.597605008182456e-05
1980s,HebRoot=הוי,2,2.597605008182456e-05
1980s,HebRoot=סער,2,2.597605008182456e-05
1980s,HebRoot=סוג,2,2.597605008182456e-05
1980s,HebRoot=שׁקק,2,2.597605008182456e-05
1980s,HebRoot=עוד,2,2.597605008182456e-05
1980s,HebRoot=המי,2,2.597605008182456e-05
1980s,HebRoot=עפל,2,2.597605008182456e-05
1980s,HebRoot=חפף,2,2.597605008182456e-05
1980s,HebRoot=שׁער,2,2.597605008182456e-05
1980s,HebRoot=טמן,2,2.597605008182456e-05
1980s,HebRoot=נחת,2,2.597605008182456e-05
1980s,HebRoot=נהר,2,2.597605008182456e-05
1980s,HebRoot=סבל,2,2.597605008182456e-05
1980s,HebRoot=שׁלט,2,2.597605008182456e-05
1980s,HebRoot=מעד,2,2.597605008182456e-05
1980s,HebRoot=זלג,2,2.597605008182456e-05
1980s,HebRoot=עות,2,2.597605008182456e-05
1980s,HebRoot=בהל,2,2.597605008182456e-05
1980s,HebRoot=גלשׁ,2,2.597605008182456e-05
1980s,HebRoot=וכח,2,2.597605008182456e-05
1980s,HebRoot=פלח,2,2.597605008182456e-05
1980s,HebRoot=חגג,2,2.597605008182456e-05
1980s,HebRoot=אים,2,2.597605008182456e-05
1980s,HebRoot=לכד,2,2.597605008182456e-05
1980s,HebRoot=פוק,2,2.597605008182456e-05
1980s,HebRoot=רטט,2,2.597605008182456e-05
1980s,HebRoot=שׂרט,2,2.597605008182456e-05
1980s,HebRoot=סלק,2,2.597605008182456e-05
1980s,HebRoot=שׁנן,2,2.597605008182456e-05
1980s,HebRoot=פרר,2,2.597605008182456e-05
1980s,HebRoot=יעל,2,2.597605008182456e-05
1980s,HebRoot=קפל,2,2.597605008182456e-05
1980s,HebRoot=חתן,2,2.597605008182456e-05
1980s,HebRoot=סחרר,2,2.597605008182456e-05
1980s,HebRoot=רשׁם,1,1.298802504091228e-05
1980s,HebRoot=חוץ,1,1.298802504091228e-05
1980s,HebRoot=נדנד,1,1.298802504091228e-05
1980s,HebRoot=נשׂג,1,1.298802504091228e-05
1980s,HebRoot=סבן,1,1.298802504091228e-05
1980s,HebRoot=חטף,1,1.298802504091228e-05
1980s,HebRoot=עסק,1,1.298802504091228e-05
1980s,HebRoot=תרי,1,1.298802504091228e-05
1980s,HebRoot=שׁגע,1,1.298802504091228e-05
1980s,HebRoot=צפצף,1,1.298802504091228e-05
1980s,HebRoot=חמד,1,1.298802504091228e-05
1980s,HebRoot=כזב,1,1.298802504091228e-05
1980s,HebRoot=רני,1,1.298802504091228e-05
1980s,HebRoot=פלד,1,1.298802504091228e-05
1980s,HebRoot=אוי,1,1.298802504091228e-05
1980s,HebRoot=נחל,1,1.298802504091228e-05
1980s,HebRoot=דעך,1,1.298802504091228e-05
1980s,HebRoot=קון,1,1.298802504091228e-05
1980s,HebRoot=צאי,1,1.298802504091228e-05
1980s,HebRoot=עלז,1,1.298802504091228e-05
1980s,HebRoot=חרד,1,1.298802504091228e-05
1980s,HebRoot=כחל,1,1.298802504091228e-05
1980s,HebRoot=פזם,1,1.298802504091228e-05
1980s,HebRoot=שׂרר,1,1.298802504091228e-05
1980s,HebRoot=רפי,1,1.298802504091228e-05
1980s,HebRoot=אפק,1,1.298802504091228e-05
1980s,HebRoot=נמנם,1,1.298802504091228e-05
1980s,HebRoot=לקט,1,1.298802504091228e-05
1980s,HebRoot=ארר,1,1.298802504091228e-05
1980s,HebRoot=זרע,1,1.298802504091228e-05
1980s,HebRoot=טשׁטשׁ,1,1.298802504091228e-05
1980s,HebRoot=פרס,1,1.298802504091228e-05
1980s,HebRoot=דמם,1,1.298802504091228e-05
1980s,HebRoot=גיז,1,1.298802504091228e-05
1980s,HebRoot=תסס,1,1.298802504091228e-05
1980s,HebRoot=קבר,1,1.298802504091228e-05
1980s,HebRoot=חלטר,1,1.298802504091228e-05
1980s,HebRoot=בּרמן,1,1.298802504091228e-05
1980s,HebRoot=אכזב,1,1.298802504091228e-05
1980s,HebRoot=גמל,1,1.298802504091228e-05
1980s,HebRoot=כשׁל,1,1.298802504091228e-05
1980s,HebRoot=אפס,1,1.298802504091228e-05
