song_name,artist_name,decade,word_count,unique_word_count,char_count,line_count,avg_words_per_line,median_words_per_line,max_words_per_line,min_words_per_line,avg_word_length,lexical_diversity,repetition_ratio,punctuation_count,punctuation_ratio,question_mark_count,exclamation_mark_count,comma_count,quote_count,parenthesis_count,digit_count,english_char_count,english_char_ratio,repeated_lines_count,repeated_lines_ratio,unique_lines_count,most_repeated_line_count,chorus_repetition_score,repeated_words_count,repeated_words_ratio,most_common_word_count,most_common_word_ratio,first_person_singular_count,first_person_singular_ratio,first_person_plural_count,first_person_plural_ratio,second_person_count,second_person_ratio,third_person_count,third_person_ratio,we_vs_i_ratio,direct_address_score,love_words_ratio,army_words_ratio,nature_words_ratio,religion_words_ratio,party_words_ratio,sadness_words_ratio,nostalgia_words_ratio,family_words_ratio,place_words_ratio,time_words_ratio,modern_slang_words_ratio,old_israeli_words_ratio,last_word_unique_count,last_word_repetition_ratio,avg_last_word_length
זקוק למחילה,אהוד בנאי,2020s,162,96,844,38,4.2631578947368425,4.0,7,2,4.135802469135802,0.5925925925925926,0.4074074074074074,7,0.008293838862559242,0,0,4,0,0,0,0,0.0,13,0.34210526315789475,25,5,0.5263157894736842,30,0.3125,6,0.037037037037037035,7,0.043209876543209874,0,0.0,5,0.030864197530864196,1,0.006172839506172839,0.0,0.38461538461538464,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.012345679012345678,0.0,0.0,0.012345679012345678,0.0,0.0,23,0.39473684210526316,5.2368421052631575
הריני מקשר,אושר כהן,2020s,95,63,507,23,4.130434782608695,4,8,1,4.094736842105263,0.6631578947368421,0.3368421052631579,3,0.005917159763313609,0,0,0,0,0,1,1,0.0019723865877712033,1,0.043478260869565216,22,2,0.08695652173913043,16,0.25396825396825395,5,0.05263157894736842,1,0.010526315789473684,0,0.0,8,0.08421052631578947,0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,21,0.08695652173913043,4.565217391304348
סיבת הסיבות,ישי ריבו,2020s,118,85,590,28,4.214285714285714,4.0,9,0,3.76271186440678,0.7203389830508474,0.2796610169491525,27,0.04576271186440678,0,3,13,1,0,0,0,0.0,5,0.17857142857142858,23,2,0.35714285714285715,23,0.27058823529411763,5,0.0423728813559322,4,0.03389830508474576,4,0.03389830508474576,9,0.07627118644067797,0,0.0,1.0,0.5294117647058824,0.0,0.0,0.00847457627118644,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,20,0.23076923076923078,4.346153846153846
אמן על הילדים,חנן בן ארי,2020s,205,143,1055,42,4.880952380952381,5.0,9,2,4.068292682926829,0.697560975609756,0.3024390243902439,18,0.017061611374407582,0,0,14,1,0,0,0,0.0,6,0.14285714285714285,36,3,0.21428571428571427,26,0.18181818181818182,9,0.04390243902439024,10,0.04878048780487805,0,0.0,9,0.04390243902439024,5,0.024390243902439025,0.0,0.375,0.0,0.0,0.00975609756097561,0.0,0.0,0.0,0.0,0.014634146341463415,0.0,0.04878048780487805,0.0,0.0,31,0.2619047619047619,4.738095238095238
רסיסים,רביב כנר,2020s,168,83,821,42,4.0,4.0,8,1,3.857142857142857,0.49404761904761907,0.5059523809523809,6,0.007308160779537149,0,0,6,0,0,0,0,0.0,16,0.38095238095238093,26,3,0.6190476190476191,37,0.4457831325301205,10,0.05952380952380952,4,0.023809523809523808,0,0.0,6,0.03571428571428571,1,0.005952380952380952,0.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.005952380952380952,0.017857142857142856,0.017857142857142856,0.0,0.023809523809523808,0.0,0.0,23,0.4523809523809524,4.976190476190476
רוצה שלום,רביב כנר,2020s,254,115,1233,56,4.535714285714286,4.0,7,1,3.811023622047244,0.452755905511811,0.547244094488189,11,0.008921330089213302,0,0,2,0,0,0,0,0.0,20,0.35714285714285715,36,3,0.6428571428571429,55,0.4782608695652174,16,0.06299212598425197,10,0.03937007874015748,1,0.003937007874015748,14,0.05511811023622047,0,0.0,0.1,0.56,0.007874015748031496,0.0,0.003937007874015748,0.0,0.0,0.0,0.0,0.007874015748031496,0.0,0.027559055118110236,0.0,0.0,32,0.42857142857142855,4.107142857142857
שקיעות אדומות,עדן חסון,2020s,162,109,803,31,5.225806451612903,5,9,2,3.8950617283950617,0.6728395061728395,0.3271604938271605,11,0.0136986301369863,2,0,2,0,0,0,0,0.0,5,0.16129032258064516,26,2,0.3225806451612903,27,0.24770642201834864,10,0.06172839506172839,9,0.05555555555555555,0,0.0,10,0.06172839506172839,4,0.024691358024691357,0.0,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.043209876543209874,0.0,0.0,22,0.2903225806451613,5.0
שרק תחייך,יובל דיין,2020s,73,54,337,3,24.333333333333332,28,29,16,3.493150684931507,0.7397260273972602,0.2602739726027397,6,0.017804154302670624,0,2,1,0,0,0,0,0.0,0,0.0,3,1,0.0,14,0.25925925925925924,4,0.0547945205479452,0,0.0,0,0.0,4,0.0547945205479452,2,0.0273972602739726,0.0,0.6666666666666666,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0136986301369863,0.0273972602739726,0.0273972602739726,0.0,0.0,2,0.3333333333333333,5.0
טרילילי טרללה,נועה קירל עם אילן פלד,2020s,366,156,1647,85,4.305882352941176,4,17,1,3.3633879781420766,0.4262295081967213,0.5737704918032787,21,0.012750455373406194,4,0,15,2,0,6,22,0.013357619914996965,38,0.4470588235294118,47,12,0.5647058823529412,40,0.2564102564102564,98,0.2677595628415301,11,0.030054644808743168,0,0.0,6,0.01639344262295082,100,0.273224043715847,0.0,0.05128205128205128,0.0,0.0,0.00546448087431694,0.0,0.00819672131147541,0.0,0.0,0.00273224043715847,0.0,0.00819672131147541,0.0,0.0,42,0.5058823529411764,3.9411764705882355
אפס מאמץ,סטטיק ובן-אל תבורי עם נטע ברזילי,2020s,204,113,972,47,4.340425531914893,4,12,1,3.5980392156862746,0.553921568627451,0.44607843137254904,30,0.030864197530864196,0,0,4,1,16,2,0,0.0,12,0.2553191489361702,35,6,0.3829787234042553,23,0.20353982300884957,16,0.0784313725490196,5,0.024509803921568627,2,0.00980392156862745,15,0.07352941176470588,2,0.00980392156862745,0.4,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.014705882352941176,0.014705882352941176,0.0,0.0,28,0.40425531914893614,3.765957446808511
מועבט,עדן בן זקן בהשתתפות איתי גלו,2020s,141,76,716,33,4.2727272727272725,4,7,2,4.01418439716312,0.5390070921985816,0.46099290780141844,20,0.027932960893854747,1,0,5,14,0,0,0,0.0,11,0.3333333333333333,22,7,0.5151515151515151,24,0.3157894736842105,7,0.04964539007092199,6,0.0425531914893617,0,0.0,7,0.04964539007092199,0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.02127659574468085,0.0070921985815602835,0.0,0.0,0.0,0.014184397163120567,0.0070921985815602835,0.0,19,0.42424242424242425,5.090909090909091
